GCF_000007925.1;CCMP1375
GCF_000011465.1;CCMP1986
GCF_000011485.1;MIT9313
GCF_000012465.1;NATL2A
GCF_000012645.1;MIT9312
GCF_000015645.1;AS9601
GCF_000015665.1;MIT9515
GCF_000015685.1;NATL1A
GCF_000015705.1;MIT9303
GCF_000015965.1;MIT9301
GCF_000018065.1;MIT9215
